,ticker,Overall_Correct_Prediction_When_Detected,Number_Of_Total_Occurences,Number_Of_Correct_Detections,Number_Of_Incorrect_Detections,Number_of_Grouped_Occurences,Number_of_Grouped_Detections,Number_of_Grouped_Correct_Detections,Number_of_Grouped_Correct_Detections_Within_Error,Number_of_Grouped_Strictly_Incorrect_Detections,Number_of_Grouped_Incorrect_Detections_Outside_Error,Above_2SD_Correctly_Predicted,Above_1SD_Correctly_Predicted,Below_2SD_Correctly_Predicted,Below_1SD_Correctly_Predicted
0,XOM,,16,0.0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0
1,AAPL,,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2,TSLA,0.0217391304347826,496,1.0,45,17,10,1,1,8,8,0.0,0.0,0.0,1.0
3,MSFT,,62,0.0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0
4,AMZN,0.0,137,0.0,3,5,2,0,0,1,1,0.0,0.0,0.0,0.0
